   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
57  fft_cz1300ms rrf       500  10   10       0.001   0.9254152 0.5161333 0.010229960
58  fft_cz1300ms rrf       500  10   10       0.010   0.9249365 0.5192654 0.007968967
59  fft_cz1300ms rrf       500  10   10       0.050   0.9252058 0.5083842 0.006703821
60  fft_cz1300ms rrf       500  10   10       0.100   0.9261558 0.5133852 0.004461984
61  fft_cz1300ms rrf       500  10   20       0.001   0.8658868 0.5136149 0.009086956
62  fft_cz1300ms rrf       500  10   20       0.010   0.8818109 0.5162413 0.010797389
63  fft_cz1300ms rrf       500  10   20       0.050   0.8683053 0.5082481 0.007484116
64  fft_cz1300ms rrf       500  10   20       0.100   0.8668647 0.5114166 0.006196036
65  fft_cz1300ms rrf       500  30    1       0.001   1.0000000 0.5047564 0.005976393
66  fft_cz1300ms rrf       500  30    1       0.010   1.0000000 0.5135801 0.014047781
67  fft_cz1300ms rrf       500  30    1       0.050   1.0000000 0.5209422 0.007138570
68  fft_cz1300ms rrf       500  30    1       0.100   1.0000000 0.5127848 0.009644334
69  fft_cz1300ms rrf       500  30    5       0.001   0.9727047 0.5121076 0.015716048
70  fft_cz1300ms rrf       500  30    5       0.010   0.9734381 0.5100664 0.008130416
71  fft_cz1300ms rrf       500  30    5       0.050   0.9722647 0.5168934 0.015181165
72  fft_cz1300ms rrf       500  30    5       0.100   0.9736041 0.5123877 0.017023753
73  fft_cz1300ms rrf       500  30   10       0.001   0.9278051 0.5141722 0.013947464
74  fft_cz1300ms rrf       500  30   10       0.010   0.9259795 0.5160121 0.017797396
75  fft_cz1300ms rrf       500  30   10       0.050   0.9233182 0.5249283 0.011486215
76  fft_cz1300ms rrf       500  30   10       0.100   0.9264409 0.5060731 0.014161431
77  fft_cz1300ms rrf       500  30   20       0.001   0.8704978 0.5105721 0.005020001
78  fft_cz1300ms rrf       500  30   20       0.010   0.8691013 0.5069640 0.012428768
79  fft_cz1300ms rrf       500  30   20       0.050   0.8658172 0.5103153 0.011747685
80  fft_cz1300ms rrf       500  30   20       0.100   0.8691937 0.5149470 0.013453423
81  fft_cz1300ms rrf       500  70    1       0.001   1.0000000 0.5076729 0.009055251
82  fft_cz1300ms rrf       500  70    1       0.010   1.0000000 0.5069195 0.015986233
83  fft_cz1300ms rrf       500  70    1       0.050   1.0000000 0.5088484 0.008894425
84  fft_cz1300ms rrf       500  70    1       0.100   1.0000000 0.5165221 0.013523172
85  fft_cz1300ms rrf       500  70    5       0.001   0.9728346 0.5176959 0.011772234
86  fft_cz1300ms rrf       500  70    5       0.010   0.9739859 0.5184207 0.002710653
87  fft_cz1300ms rrf       500  70    5       0.050   0.9732360 0.5226072 0.006575577
88  fft_cz1300ms rrf       500  70    5       0.100   0.9731892 0.5095978 0.014409124
89  fft_cz1300ms rrf       500  70   10       0.001   0.9269578 0.5047411 0.020697471
90  fft_cz1300ms rrf       500  70   10       0.010   0.9273073 0.5141879 0.007147668
91  fft_cz1300ms rrf       500  70   10       0.050   0.9258063 0.5122463 0.011487917
92  fft_cz1300ms rrf       500  70   10       0.100   0.9244741 0.5268603 0.009927304
93  fft_cz1300ms rrf       500  70   20       0.001   0.8685425 0.5116984 0.017579221
94  fft_cz1300ms rrf       500  70   20       0.010   0.8607143 0.5088704 0.021316315
95  fft_cz1300ms rrf       500  70   20       0.050   0.8616960 0.5147808 0.017259963
96  fft_cz1300ms rrf       500  70   20       0.100   0.8617757 0.5193980 0.019044015
97  fft_cz1300ms rrf      1000  10    1       0.001   1.0000000 0.5092199 0.006056435
98  fft_cz1300ms rrf      1000  10    1       0.010   1.0000000 0.5224160 0.006984559
99  fft_cz1300ms rrf      1000  10    1       0.050   1.0000000 0.5247199 0.017634125
100 fft_cz1300ms rrf      1000  10    1       0.100   1.0000000 0.5099621 0.010830003
101 fft_cz1300ms rrf      1000  10    5       0.001   0.9731487 0.5124461 0.018501343
102 fft_cz1300ms rrf      1000  10    5       0.010   0.9729800 0.5109446 0.011302183
103 fft_cz1300ms rrf      1000  10    5       0.050   0.9735235 0.5174222 0.006926404
104 fft_cz1300ms rrf      1000  10    5       0.100   0.9730756 0.5131894 0.011603914
105 fft_cz1300ms rrf      1000  10   10       0.001   0.9256061 0.5234215 0.017609235
106 fft_cz1300ms rrf      1000  10   10       0.010   0.9260280 0.5201618 0.007316669
107 fft_cz1300ms rrf      1000  10   10       0.050   0.9262622 0.5167011 0.012300591
108 fft_cz1300ms rrf      1000  10   10       0.100   0.9227499 0.5222109 0.008547314
109 fft_cz1300ms rrf      1000  10   20       0.001   0.8713785 0.5059747 0.003615379
110 fft_cz1300ms rrf      1000  10   20       0.010   0.8711659 0.4982510 0.003627609
111 fft_cz1300ms rrf      1000  10   20       0.050   0.8710651 0.5019617 0.012242538
112 fft_cz1300ms rrf      1000  10   20       0.100   0.8660337 0.4996602 0.007774380
113 fft_cz1300ms rrf      1000  30    1       0.001   1.0000000 0.5178751 0.006608018
114 fft_cz1300ms rrf      1000  30    1       0.010   1.0000000 0.5033745 0.004814039
115 fft_cz1300ms rrf      1000  30    1       0.050   1.0000000 0.5198733 0.010535610
116 fft_cz1300ms rrf      1000  30    1       0.100   1.0000000 0.5189784 0.005792395
117 fft_cz1300ms rrf      1000  30    5       0.001   0.9732741 0.5226813 0.009008519
118 fft_cz1300ms rrf      1000  30    5       0.010   0.9734175 0.5152066 0.016662316
119 fft_cz1300ms rrf      1000  30    5       0.050   0.9742725 0.5232807 0.009803027
120 fft_cz1300ms rrf      1000  30    5       0.100   0.9737448 0.5230057 0.010239627
121 fft_cz1300ms rrf      1000  30   10       0.001   0.9244548 0.5276435 0.009392220
122 fft_cz1300ms rrf      1000  30   10       0.010   0.9262848 0.5084130 0.005647399
123 fft_cz1300ms rrf      1000  30   10       0.050   0.9275354 0.5195078 0.021684718
124 fft_cz1300ms rrf      1000  30   10       0.100   0.9267796 0.5167871 0.014204323
